107276605 => [H:12][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[H:15])[S:7](=[O:8])(=[O:9])[N:10]([H:17])[N:11]([H:18])[H:19])[H:14])[H:13] => 24
107276624 => [H:19][C:8]([H:20])([H:21])[C:7]([H:17])([H:18])[N:6]([N:5]([H:16])[S:2](=[O:3])(=[O:4])[C:1]([H:13])([H:14])[H:15])[S:9](=[O:10])(=[O:11])[C:12]([H:22])([H:23])[H:24] => 24
104321523 => [H:20][c:5]1[c:6]([c:7]([c:8]([c:9]([c:4]1[O:3][C:2]([H:18])([H:19])[C:1]([H:15])([H:16])[H:17])[H:23])[H:22])[S:10](=[O:11])(=[O:12])[N:13]([H:24])[N:14]([H:25])[H:26])[H:21] => 24
104321524 => [H:26][c:6]1[c:7]([c:8]2[c:9]([c:10]([c:11]([c:12]([c:13]2[S:14](=[O:15])(=[O:16])[N:17]([H:31])[N:18]([H:32])[H:33])[H:30])[H:29])[H:28])[c:4]([c:5]1[H:25])[N:2]([C:1]([H:19])([H:20])[H:21])[C:3]([H:22])([H:23])[H:24])[H:27] => 24
107276625 => [H:25][c:8]1[c:9]([c:10]([c:11]([c:12]([c:7]1[C:5](=[O:6])[N:4]([H:24])[C:2]([H:20])([C:1]([H:17])([H:18])[H:19])[C:3]([H:21])([H:22])[H:23])[H:28])[H:27])[C:13]([H:29])([H:30])[N:14]([H:31])[N:15]([H:32])[C:16]([H:33])([H:34])[H:35])[H:26] => 24
107276643 => [H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[N:3]([H:11])[N:4]([H:12])[C:5]([H:13])([H:14])[H:15] => 24
107276644 => [H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[N:3]([H:15])[N:4]([H:16])[C:5]([H:17])([H:18])[S:6](=[O:7])(=[O:8])[C:9]([H:19])([H:20])[H:21] => 24
107276663 => [H:11][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:15])[H:14])[C:7]([H:16])([H:17])[C:8]([H:18])([H:19])[N:9]([H:20])[N:10]([H:21])[H:22])[H:13])[H:12] => 24
107276664 => [H:12][c:1]1[c:2]([c:3]([c:4]([c:5]([c:6]1[H:16])[H:15])[C:7](=[O:8])[C:9]([H:17])([H:18])[N:10]([H:19])[N:11]([H:20])[H:21])[H:14])[H:13] => 24
107276665 => [H:21][C:3]1([C:2]([C:6]([C:5]([N+:4]1([N+:8]2([C:9]([C:10]([C:11]([C:12]2([H:33])[H:34])([H:32])[C:13]([H:35])([H:36])[H:37])([H:31])[C:14]([H:38])([H:39])[H:40])([H:29])[H:30])[O-:15])[O-:16])([H:23])[H:24])([H:25])[C:7]([H:26])([H:27])[H:28])([H:20])[C:1]([H:17])([H:18])[H:19])[H:22] => 24
107276666 => [H:16][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:24])[H:25])([H:22])[H:23])([N+:7]2([C:8]([C:9]([C:10]([C:11]([C:12]2([H:33])[H:34])([H:31])[H:32])([H:30])[Cl:13])([H:28])[H:29])([H:26])[H:27])[O-:14])[O-:15])([H:20])[H:21])([H:18])[H:19])[H:17] => 24
107276667 => [H:17][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:25])[H:26])([H:23])[H:24])([N+:7]2([C:8]([C:9]([C:10]([C:11]([C:12]2([H:34])[H:35])([H:32])[H:33])([H:31])[C:13]#[N:14])([H:29])[H:30])([H:27])[H:28])[O-:15])[O-:16])([H:21])[H:22])([H:19])[H:20])[H:18] => 24
107276682 => [H:13][C:1]1([C:2]([N+:3]([C:4]([N:5]1[H:19])([H:17])[H:18])([N+:6]2([C:7]([C:8]([N:9]([C:10]2([H:25])[H:26])[H:24])([H:22])[H:23])([H:20])[H:21])[O-:11])[O-:12])([H:15])[H:16])[H:14] => 24
